what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284654604672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654606021
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1284654615710
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654616954
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284654616987
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284654623210
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284654625563
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1284654632894
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1284654633591
executed,command,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1284654634454
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1284654634943
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284654636640
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284654657043
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654686885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654721037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654726753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654749298
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654753367
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654791759
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284654821505
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654823048
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654834920
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284654834951
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654844474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654847428
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654850470
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1284654855391
